deal_id,valid_from,funnel_step_number,stage_name,historical_owner_name
109238,2024-10-15 09:46:40,5.0,Negotiation,Cindy Smith
109298,2024-02-27 15:35:08,1.0,Lead Generation,
109298,2024-03-18 15:35:08,1.0,Lead Generation,Regina Brown
109298,2024-04-07 15:35:08,2.0,Qualified lead,Regina Brown
109298,2024-04-30 15:35:08,4.0,Proposal/Quote Preparation,Regina Brown
109298,2024-05-16 15:35:08,5.0,Negotiation,Regina Brown
109298,2024-05-24 15:35:08,7.0,Implementation/Onboarding,Regina Brown
110614,2024-03-19 11:24:29,1.0,Lead Generation,
110614,2024-04-05 11:24:29,1.0,Lead Generation,Pamela Nelson
110614,2024-04-25 11:24:29,2.0,Qualified lead,Pamela Nelson
110614,2024-05-18 11:24:29,3.0,Needs Assessment,Pamela Nelson
110614,2024-06-05 11:24:29,4.0,Proposal/Quote Preparation,Pamela Nelson
110614,2024-06-10 11:24:29,7.0,Implementation/Onboarding,Pamela Nelson
110614,2024-06-13 11:24:29,8.0,Follow-up/Customer Success,Pamela Nelson
110614,2024-07-01 11:24:29,9.0,Renewal/Expansion,Pamela Nelson
110628,2024-06-21 23:22:33,1.0,Lead Generation,
110628,2024-07-17 23:22:33,1.0,Lead Generation,John Powell
110628,2024-08-11 23:22:33,2.0,Qualified lead,John Powell
110628,2024-08-15 23:22:33,3.0,Needs Assessment,John Powell
110628,2024-09-04 23:22:33,4.0,Proposal/Quote Preparation,John Powell
110628,2024-10-03 23:22:33,6.0,Closing,John Powell
110628,2024-10-16 23:22:33,7.0,Implementation/Onboarding,John Powell
110628,2024-11-08 23:22:33,8.0,Follow-up/Customer Success,John Powell
110739,2024-01-05 07:16:02,1.0,Lead Generation,
110739,2024-02-06 07:16:02,1.0,Lead Generation,Theresa Gomez
110739,2024-03-03 07:16:02,2.0,Qualified lead,Theresa Gomez
110739,2024-03-25 07:16:02,3.0,Needs Assessment,Theresa Gomez
110739,2024-03-29 07:16:02,4.0,Proposal/Quote Preparation,Theresa Gomez
110806,2024-06-17 06:22:14,1.0,Lead Generation,
110806,2024-08-01 06:22:14,1.0,Lead Generation,Joseph Larson
110806,2024-08-28 06:22:14,2.0,Qualified lead,Joseph Larson
110806,2024-09-08 06:22:14,3.0,Needs Assessment,Joseph Larson
110806,2024-09-14 06:22:14,4.0,Proposal/Quote Preparation,Joseph Larson
110806,2024-09-17 06:22:14,5.0,Negotiation,Joseph Larson
110806,2024-10-09 06:22:14,8.0,Follow-up/Customer Success,Joseph Larson
110806,2024-10-25 06:22:14,9.0,Renewal/Expansion,Joseph Larson
111789,2024-06-15 05:54:59,1.0,Lead Generation,
111789,2024-07-22 05:54:59,1.0,Lead Generation,Jeff Medina
111789,2024-08-03 05:54:59,2.0,Qualified lead,Jeff Medina
111789,2024-08-16 05:54:59,4.0,Proposal/Quote Preparation,Jeff Medina
111789,2024-09-05 05:54:59,7.0,Implementation/Onboarding,Jeff Medina
112387,2024-02-10 08:16:18,1.0,Lead Generation,
112387,2024-03-15 08:16:18,1.0,Lead Generation,Corey Berger
112387,2024-03-26 08:16:18,2.0,Qualified lead,Corey Berger
112387,2024-04-04 08:16:18,4.0,Proposal/Quote Preparation,Corey Berger
112387,2024-04-25 08:16:18,5.0,Negotiation,Corey Berger
112387,2024-04-27 08:16:18,6.0,Closing,Corey Berger
112387,2024-05-03 08:16:18,9.0,Renewal/Expansion,Corey Berger
112871,2024-07-02 13:15:18,1.0,Lead Generation,
112871,2024-09-01 13:15:18,1.0,Lead Generation,Crystal Galloway
112871,2024-09-10 13:15:18,2.0,Qualified lead,Crystal Galloway
112871,2024-09-21 13:15:18,3.0,Needs Assessment,Crystal Galloway
112871,2024-09-27 13:15:18,5.0,Negotiation,Crystal Galloway
112871,2024-10-21 13:15:18,8.0,Follow-up/Customer Success,Crystal Galloway
113231,2024-02-07 02:38:18,1.0,Lead Generation,
113231,2024-03-18 02:38:18,1.0,Lead Generation,Robert Miller Jr.
113231,2024-04-15 02:38:18,2.0,Qualified lead,Robert Miller Jr.
113231,2024-04-29 02:38:18,4.0,Proposal/Quote Preparation,Robert Miller Jr.
113231,2024-05-06 02:38:18,5.0,Negotiation,Robert Miller Jr.
113231,2024-06-04 02:38:18,7.0,Implementation/Onboarding,Robert Miller Jr.
113422,2024-07-14 03:09:43,1.0,Lead Generation,
113422,2024-08-09 03:09:43,1.0,Lead Generation,Rhonda Rush
113422,2024-08-30 03:09:43,2.0,Qualified lead,Rhonda Rush
113422,2024-09-08 03:09:43,4.0,Proposal/Quote Preparation,Rhonda Rush
113422,2024-09-21 03:09:43,7.0,Implementation/Onboarding,Rhonda Rush
113615,2024-05-17 01:50:42,1.0,Lead Generation,
113615,2024-07-07 01:50:42,1.0,Lead Generation,Maria Ross
113615,2024-07-08 01:50:42,3.0,Needs Assessment,Maria Ross
114998,2024-06-13 10:34:22,1.0,Lead Generation,
114998,2024-08-05 10:34:22,1.0,Lead Generation,David Rodriguez
114998,2024-08-24 10:34:22,2.0,Qualified lead,David Rodriguez
114998,2024-09-12 10:34:22,4.0,Proposal/Quote Preparation,David Rodriguez
114998,2024-09-18 10:34:22,5.0,Negotiation,David Rodriguez
114998,2024-10-03 10:34:22,8.0,Follow-up/Customer Success,David Rodriguez
115934,2024-07-21 03:01:25,1.0,Lead Generation,
115934,2024-09-12 03:01:25,1.0,Lead Generation,Sean Fry
115934,2024-09-14 03:01:25,2.0,Qualified lead,Sean Fry
115934,2024-10-02 03:01:25,3.0,Needs Assessment,Sean Fry
115934,2024-10-14 03:01:25,4.0,Proposal/Quote Preparation,Sean Fry
115934,2024-10-31 03:01:25,5.0,Negotiation,Sean Fry
115988,2024-03-12 14:44:43,1.0,Lead Generation,
115988,2024-03-16 14:44:43,1.0,Lead Generation,Valerie Murphy
115988,2024-03-29 14:44:43,2.0,Qualified lead,Valerie Murphy
115988,2024-04-17 14:44:43,3.0,Needs Assessment,Valerie Murphy
115988,2024-04-18 14:44:43,4.0,Proposal/Quote Preparation,Valerie Murphy
115988,2024-04-24 14:44:43,6.0,Closing,Valerie Murphy
115988,2024-05-07 14:44:43,7.0,Implementation/Onboarding,Valerie Murphy
116051,2024-07-04 10:26:35,1.0,Lead Generation,
116051,2024-07-28 10:26:35,1.0,Lead Generation,Yolanda Lester
116051,2024-08-14 10:26:35,2.0,Qualified lead,Yolanda Lester
116051,2024-08-24 10:26:35,6.0,Closing,Yolanda Lester
116051,2024-08-26 10:26:35,9.0,Renewal/Expansion,Yolanda Lester
116234,2024-07-31 01:35:47,1.0,Lead Generation,
116234,2024-08-20 01:35:47,1.0,Lead Generation,Brent Davis
116234,2024-09-09 01:35:47,2.0,Qualified lead,Brent Davis
116234,2024-10-03 01:35:47,3.0,Needs Assessment,Brent Davis
116234,2024-10-09 01:35:47,7.0,Implementation/Onboarding,Brent Davis
116234,2024-10-10 01:35:47,9.0,Renewal/Expansion,Brent Davis
116259,2024-07-28 04:14:25,1.0,Lead Generation,
116259,2024-09-06 04:14:25,1.0,Lead Generation,Keith Chase
116259,2024-09-12 04:14:25,2.0,Qualified lead,Keith Chase
116259,2024-09-29 04:14:25,3.0,Needs Assessment,Keith Chase
116259,2024-10-07 04:14:25,4.0,Proposal/Quote Preparation,Keith Chase
116511,2024-08-06 23:19:51,1.0,Lead Generation,
116511,2024-09-04 23:19:51,1.0,Lead Generation,Laura Sanders
116511,2024-09-18 23:19:51,2.0,Qualified lead,Laura Sanders
116511,2024-09-19 23:19:51,3.0,Needs Assessment,Laura Sanders
116511,2024-10-13 23:19:51,4.0,Proposal/Quote Preparation,Laura Sanders
116511,2024-10-27 23:19:51,5.0,Negotiation,Laura Sanders
117885,2024-04-24 05:51:06,1.0,Lead Generation,
117885,2024-07-07 05:51:06,1.0,Lead Generation,Jonathan Hamilton
117885,2024-07-30 05:51:06,2.0,Qualified lead,Jonathan Hamilton
117885,2024-08-16 05:51:06,4.0,Proposal/Quote Preparation,Jonathan Hamilton
117885,2024-09-11 05:51:06,5.0,Negotiation,Jonathan Hamilton
117885,2024-09-17 05:51:06,6.0,Closing,Jonathan Hamilton
117933,2024-06-09 05:27:38,1.0,Lead Generation,
117933,2024-07-08 05:27:38,1.0,Lead Generation,Geoffrey Bryant
117933,2024-07-12 05:27:38,2.0,Qualified lead,Geoffrey Bryant
117933,2024-07-21 05:27:38,3.0,Needs Assessment,Geoffrey Bryant
117933,2024-07-31 05:27:38,5.0,Negotiation,Geoffrey Bryant
118456,2024-03-07 15:23:32,1.0,Lead Generation,
118456,2024-04-16 15:23:32,1.0,Lead Generation,Ethan Murphy
118456,2024-04-30 15:23:32,2.0,Qualified lead,Ethan Murphy
118456,2024-05-01 15:23:32,3.0,Needs Assessment,Ethan Murphy
118456,2024-05-06 15:23:32,4.0,Proposal/Quote Preparation,Ethan Murphy
118456,2024-06-02 15:23:32,5.0,Negotiation,Ethan Murphy
118456,2024-06-25 15:23:32,6.0,Closing,Ethan Murphy
118804,2024-08-09 10:11:13,1.0,Lead Generation,
118804,2024-10-05 10:11:13,1.0,Lead Generation,David Davis
118804,2024-10-12 10:11:13,3.0,Needs Assessment,David Davis
118804,2024-10-18 10:11:13,4.0,Proposal/Quote Preparation,David Davis
118804,2024-10-25 10:11:13,5.0,Negotiation,David Davis
118804,2024-10-31 10:11:13,6.0,Closing,David Davis
118804,2024-11-21 10:11:13,9.0,Renewal/Expansion,David Davis
118941,2024-08-17 00:47:22,1.0,Lead Generation,
118941,2024-09-17 00:47:22,1.0,Lead Generation,Randall Medina
118941,2024-09-30 00:47:22,2.0,Qualified lead,Randall Medina
118941,2024-10-22 00:47:22,3.0,Needs Assessment,Randall Medina
119415,2024-04-14 18:23:08,1.0,Lead Generation,
119415,2024-04-26 18:23:08,1.0,Lead Generation,Lauren Peters
119415,2024-05-21 18:23:08,6.0,Closing,Lauren Peters
119415,2024-06-09 18:23:08,7.0,Implementation/Onboarding,Lauren Peters
119415,2024-06-24 18:23:08,8.0,Follow-up/Customer Success,Lauren Peters
119786,2024-02-03 15:11:43,1.0,Lead Generation,
119786,2024-03-03 15:11:43,1.0,Lead Generation,Nicole King
119786,2024-03-29 15:11:43,2.0,Qualified lead,Nicole King
119786,2024-03-30 15:11:43,3.0,Needs Assessment,Nicole King
119786,2024-04-17 15:11:43,4.0,Proposal/Quote Preparation,Nicole King
119786,2024-05-11 15:11:43,6.0,Closing,Nicole King
119786,2024-06-05 15:11:43,8.0,Follow-up/Customer Success,Nicole King
120979,2024-03-18 00:34:56,1.0,Lead Generation,
120979,2024-04-26 00:34:56,1.0,Lead Generation,Cody Richmond
120979,2024-05-17 00:34:56,2.0,Qualified lead,Cody Richmond
120979,2024-05-23 00:34:56,3.0,Needs Assessment,Cody Richmond
120979,2024-06-12 00:34:56,4.0,Proposal/Quote Preparation,Cody Richmond
120979,2024-06-16 00:34:56,5.0,Negotiation,Cody Richmond
120979,2024-06-19 00:34:56,7.0,Implementation/Onboarding,Cody Richmond
121756,2024-07-27 17:31:49,1.0,Lead Generation,
121756,2024-08-18 17:31:49,1.0,Lead Generation,Tanner Martin
121756,2024-08-30 17:31:49,2.0,Qualified lead,Tanner Martin
121756,2024-09-11 17:31:49,3.0,Needs Assessment,Tanner Martin
121756,2024-09-19 17:31:49,4.0,Proposal/Quote Preparation,Tanner Martin
121756,2024-10-17 17:31:49,6.0,Closing,Tanner Martin
123595,2024-04-21 06:43:57,1.0,Lead Generation,
123595,2024-05-26 06:43:57,1.0,Lead Generation,Blake Singh
123595,2024-06-16 06:43:57,2.0,Qualified lead,Blake Singh
123595,2024-07-15 06:43:57,3.0,Needs Assessment,Blake Singh
123595,2024-07-31 06:43:57,4.0,Proposal/Quote Preparation,Blake Singh
123595,2024-08-03 06:43:57,5.0,Negotiation,Blake Singh
123595,2024-08-28 06:43:57,8.0,Follow-up/Customer Success,Blake Singh
123734,2024-01-19 19:45:24,1.0,Lead Generation,
123734,2024-03-16 19:45:24,1.0,Lead Generation,Michelle Kennedy
123734,2024-04-14 19:45:24,2.0,Qualified lead,Michelle Kennedy
123734,2024-04-28 19:45:24,3.0,Needs Assessment,Michelle Kennedy
123734,2024-05-18 19:45:24,4.0,Proposal/Quote Preparation,Michelle Kennedy
123734,2024-05-21 19:45:24,5.0,Negotiation,Michelle Kennedy
125244,2024-08-08 23:34:18,1.0,Lead Generation,
125244,2024-10-08 23:34:18,1.0,Lead Generation,Daniel Sullivan
125244,2024-10-21 23:34:18,2.0,Qualified lead,Daniel Sullivan
125244,2024-10-22 23:34:18,3.0,Needs Assessment,Daniel Sullivan
125244,2024-11-10 23:34:18,4.0,Proposal/Quote Preparation,Daniel Sullivan
125244,2024-12-04 23:34:18,6.0,Closing,Daniel Sullivan
125244,2024-12-18 23:34:18,8.0,Follow-up/Customer Success,Daniel Sullivan
125981,2024-04-13 15:07:00,1.0,Lead Generation,
125981,2024-04-19 15:07:00,1.0,Lead Generation,Philip Burns
125981,2024-05-17 15:07:00,2.0,Qualified lead,Philip Burns
125981,2024-05-29 15:07:00,3.0,Needs Assessment,Philip Burns
126352,2024-03-10 10:14:37,1.0,Lead Generation,
126352,2024-04-13 10:14:37,1.0,Lead Generation,Michael Nguyen
126352,2024-04-27 10:14:37,4.0,Proposal/Quote Preparation,Michael Nguyen
126352,2024-05-16 10:14:37,7.0,Implementation/Onboarding,Michael Nguyen
127190,2024-07-20 06:41:21,1.0,Lead Generation,
127190,2024-08-24 06:41:21,1.0,Lead Generation,Gary Freeman
127190,2024-08-26 06:41:21,2.0,Qualified lead,Gary Freeman
127190,2024-09-15 06:41:21,3.0,Needs Assessment,Gary Freeman
127190,2024-09-16 06:41:21,4.0,Proposal/Quote Preparation,Gary Freeman
127190,2024-09-21 06:41:21,5.0,Negotiation,Gary Freeman
127190,2024-10-15 06:41:21,6.0,Closing,Gary Freeman
127580,2024-03-07 14:35:56,1.0,Lead Generation,
127580,2024-04-28 14:35:56,1.0,Lead Generation,Linda Williams
127580,2024-05-24 14:35:56,2.0,Qualified lead,Linda Williams
127580,2024-06-12 14:35:56,3.0,Needs Assessment,Linda Williams
127580,2024-06-18 14:35:56,8.0,Follow-up/Customer Success,Linda Williams
127580,2024-07-14 14:35:56,9.0,Renewal/Expansion,Linda Williams
127822,2024-07-03 08:37:18,1.0,Lead Generation,
127822,2024-07-23 08:37:18,1.0,Lead Generation,Shawn Brock
127822,2024-07-27 08:37:18,3.0,Needs Assessment,Shawn Brock
127822,2024-08-14 08:37:18,5.0,Negotiation,Shawn Brock
127822,2024-08-17 08:37:18,9.0,Renewal/Expansion,Shawn Brock
127998,2024-03-18 23:06:51,1.0,Lead Generation,
127998,2024-05-03 23:06:51,1.0,Lead Generation,Elizabeth Farley
127998,2024-05-25 23:06:51,5.0,Negotiation,Elizabeth Farley
127998,2024-06-01 23:06:51,6.0,Closing,Elizabeth Farley
128233,2024-06-08 15:31:57,1.0,Lead Generation,
128233,2024-07-17 15:31:57,1.0,Lead Generation,Andrea Johnson
128233,2024-08-08 15:31:57,2.0,Qualified lead,Andrea Johnson
128233,2024-08-22 15:31:57,3.0,Needs Assessment,Andrea Johnson
128233,2024-08-26 15:31:57,4.0,Proposal/Quote Preparation,Andrea Johnson
128233,2024-09-03 15:31:57,5.0,Negotiation,Andrea Johnson
128233,2024-09-07 15:31:57,6.0,Closing,Andrea Johnson
128233,2024-09-21 15:31:57,7.0,Implementation/Onboarding,Andrea Johnson
128233,2024-10-15 15:31:57,8.0,Follow-up/Customer Success,Andrea Johnson
128472,2024-07-02 03:21:12,1.0,Lead Generation,
128472,2024-07-17 03:21:12,1.0,Lead Generation,Tiffany Thompson
128472,2024-07-24 03:21:12,4.0,Proposal/Quote Preparation,Tiffany Thompson
128472,2024-08-13 03:21:12,5.0,Negotiation,Tiffany Thompson
128472,2024-09-11 03:21:12,8.0,Follow-up/Customer Success,Tiffany Thompson
129862,2024-02-28 01:31:03,1.0,Lead Generation,
129862,2024-04-14 01:31:03,1.0,Lead Generation,Amanda Ramirez
129862,2024-04-19 01:31:03,2.0,Qualified lead,Amanda Ramirez
129862,2024-05-03 01:31:03,3.0,Needs Assessment,Amanda Ramirez
129862,2024-05-08 01:31:03,4.0,Proposal/Quote Preparation,Amanda Ramirez
129862,2024-06-07 01:31:03,7.0,Implementation/Onboarding,Amanda Ramirez
129865,2024-02-03 18:11:45,1.0,Lead Generation,
129865,2024-03-14 18:11:45,1.0,Lead Generation,Terri Wallace
129865,2024-04-02 18:11:45,2.0,Qualified lead,Terri Wallace
129865,2024-04-09 18:11:45,5.0,Negotiation,Terri Wallace
129865,2024-05-03 18:11:45,9.0,Renewal/Expansion,Terri Wallace
130011,2024-06-13 04:44:09,1.0,Lead Generation,
130011,2024-06-28 04:44:09,1.0,Lead Generation,Cody Hodge
130011,2024-07-03 04:44:09,2.0,Qualified lead,Cody Hodge
130011,2024-07-22 04:44:09,3.0,Needs Assessment,Cody Hodge
130011,2024-08-02 04:44:09,5.0,Negotiation,Cody Hodge
130879,2024-03-10 18:55:48,1.0,Lead Generation,
130879,2024-05-02 18:55:48,1.0,Lead Generation,Justin Johnson
130879,2024-05-27 18:55:48,2.0,Qualified lead,Justin Johnson
130879,2024-06-19 18:55:48,4.0,Proposal/Quote Preparation,Justin Johnson
130879,2024-07-13 18:55:48,5.0,Negotiation,Justin Johnson
130879,2024-08-04 18:55:48,6.0,Closing,Justin Johnson
130948,2024-09-09 14:03:20,1.0,Lead Generation,
130948,2024-09-30 14:03:20,1.0,Lead Generation,Joseph Fleming
130948,2024-10-28 14:03:20,2.0,Qualified lead,Joseph Fleming
130948,2024-11-01 14:03:20,4.0,Proposal/Quote Preparation,Joseph Fleming
130948,2024-11-25 14:03:20,7.0,Implementation/Onboarding,Joseph Fleming
131102,2024-05-27 01:40:18,1.0,Lead Generation,
131102,2024-06-21 01:40:18,1.0,Lead Generation,Julia Acevedo
131102,2024-07-06 01:40:18,6.0,Closing,Julia Acevedo
131310,2024-05-01 18:45:08,1.0,Lead Generation,
131310,2024-05-16 18:45:08,1.0,Lead Generation,Christopher Foley
131310,2024-05-21 18:45:08,2.0,Qualified lead,Christopher Foley
131310,2024-06-09 18:45:08,3.0,Needs Assessment,Christopher Foley
131310,2024-07-07 18:45:08,4.0,Proposal/Quote Preparation,Christopher Foley
131310,2024-07-10 18:45:08,5.0,Negotiation,Christopher Foley
131372,2024-06-01 21:06:41,1.0,Lead Generation,
131372,2024-06-10 21:06:41,1.0,Lead Generation,Corey Martinez
131372,2024-06-16 21:06:41,2.0,Qualified lead,Corey Martinez
131372,2024-07-05 21:06:41,5.0,Negotiation,Corey Martinez
131372,2024-07-20 21:06:41,7.0,Implementation/Onboarding,Corey Martinez
131558,2024-01-30 19:31:22,1.0,Lead Generation,
131558,2024-02-17 19:31:22,1.0,Lead Generation,Cindy Andrews
131558,2024-02-28 19:31:22,2.0,Qualified lead,Cindy Andrews
131558,2024-02-29 19:31:22,4.0,Proposal/Quote Preparation,Cindy Andrews
131558,2024-03-14 19:31:22,6.0,Closing,Cindy Andrews
131842,2024-03-05 17:29:50,1.0,Lead Generation,
131842,2024-03-31 17:29:50,1.0,Lead Generation,Samantha Reynolds
131842,2024-04-08 17:29:50,2.0,Qualified lead,Samantha Reynolds
131842,2024-04-21 17:29:50,4.0,Proposal/Quote Preparation,Samantha Reynolds
131842,2024-05-17 17:29:50,7.0,Implementation/Onboarding,Samantha Reynolds
132858,2024-09-10 01:42:50,1.0,Lead Generation,
132858,2024-09-26 01:42:50,1.0,Lead Generation,Ryan Carey
132858,2024-09-30 01:42:50,2.0,Qualified lead,Ryan Carey
132858,2024-10-23 01:42:50,6.0,Closing,Ryan Carey
132858,2024-11-13 01:42:50,9.0,Renewal/Expansion,Ryan Carey
133392,2024-08-09 21:44:46,1.0,Lead Generation,
133392,2024-09-12 21:44:46,1.0,Lead Generation,Kimberly Christian
133392,2024-09-29 21:44:46,3.0,Needs Assessment,Kimberly Christian
133392,2024-10-24 21:44:46,5.0,Negotiation,Kimberly Christian
133691,2024-04-20 06:15:05,1.0,Lead Generation,
133691,2024-06-22 06:15:05,1.0,Lead Generation,Thomas Foster
133691,2024-06-25 06:15:05,2.0,Qualified lead,Thomas Foster
133691,2024-07-15 06:15:05,3.0,Needs Assessment,Thomas Foster
133691,2024-07-29 06:15:05,5.0,Negotiation,Thomas Foster
133691,2024-08-11 06:15:05,8.0,Follow-up/Customer Success,Thomas Foster
134055,2024-01-24 08:13:43,1.0,Lead Generation,
134055,2024-04-01 08:13:43,1.0,Lead Generation,Michael Mccormick
134055,2024-04-06 08:13:43,2.0,Qualified lead,Michael Mccormick
134055,2024-04-25 08:13:43,3.0,Needs Assessment,Michael Mccormick
134055,2024-05-08 08:13:43,4.0,Proposal/Quote Preparation,Michael Mccormick
135159,2024-08-27 11:35:44,1.0,Lead Generation,
135159,2024-09-21 11:35:44,1.0,Lead Generation,Lisa Velazquez
135159,2024-10-18 11:35:44,2.0,Qualified lead,Lisa Velazquez
135159,2024-11-11 11:35:44,3.0,Needs Assessment,Lisa Velazquez
135159,2024-11-23 11:35:44,5.0,Negotiation,Lisa Velazquez
135238,2024-02-03 04:01:09,1.0,Lead Generation,
135238,2024-03-14 04:01:09,1.0,Lead Generation,Jennifer Torres
135238,2024-04-09 04:01:09,2.0,Qualified lead,Jennifer Torres
135238,2024-04-25 04:01:09,3.0,Needs Assessment,Jennifer Torres
135238,2024-05-10 04:01:09,8.0,Follow-up/Customer Success,Jennifer Torres
135880,2024-02-06 14:48:41,1.0,Lead Generation,
135880,2024-03-04 14:48:41,1.0,Lead Generation,Richard Wells
135880,2024-03-22 14:48:41,2.0,Qualified lead,Richard Wells
135880,2024-04-06 14:48:41,3.0,Needs Assessment,Richard Wells
135880,2024-05-04 14:48:41,9.0,Renewal/Expansion,Richard Wells
