month,rep_name,kpi_name,funnel_step,deals_count
2024-01,Elizabeth Russell,Sales Call 2,3.1,1
2024-01,Erica Johnson PhD,Sales Call 2,3.1,1
2024-01,Erin Hawkins,Sales Call 2,3.1,1
2024-01,Erin Johnson,Lead Generation,1.0,1
2024-01,Gloria Lewis,Sales Call 2,3.1,1
2024-01,Gregory Smith,Sales Call 1,2.1,1
2024-01,Heather Rivera,Sales Call 1,2.1,1
2024-01,Holly Garcia,Sales Call 2,3.1,1
2024-01,Ivan Melton,Sales Call 1,2.1,1
2024-01,Ivan Melton,Sales Call 2,3.1,1
2024-01,Jackson Dougherty,Sales Call 2,3.1,1
2024-01,James Jones,Sales Call 1,2.1,1
2024-01,Jamie Bailey,Sales Call 1,2.1,1
2024-01,Jason Bennett,Sales Call 1,2.1,1
2024-01,Jason Johnson,Sales Call 1,2.1,1
2024-01,Jeff Dickerson MD,Sales Call 1,2.1,1
2024-01,Jeremy Lane,Sales Call 1,2.1,1
2024-01,Jeremy Robinson,Sales Call 2,3.1,1
2024-01,Jessica Flowers,Sales Call 2,3.1,1
2024-01,Jessica Kim,Sales Call 2,3.1,1
2024-01,Jessica Wright,Sales Call 1,2.1,1
2024-01,Jesus Fletcher,Sales Call 1,2.1,1
2024-01,John Cain,Lead Generation,1.0,1
2024-01,John Cain,Qualified lead,2.0,1
2024-01,John Cain,Proposal/Quote Preparation,4.0,1
2024-01,John Gilbert,Sales Call 1,2.1,1
2024-01,John Hinton,Sales Call 1,2.1,1
2024-01,John Lyons,Sales Call 1,2.1,1
2024-01,John Miller,Sales Call 1,2.1,1
2024-01,John Mitchell,Sales Call 1,2.1,1
2024-01,John Smith,Sales Call 2,3.1,1
2024-01,Jon Payne,Sales Call 2,3.1,1
2024-01,Jordan Morgan,Sales Call 2,3.1,1
2024-01,Jordan Torres,Lead Generation,1.0,1
2024-01,Jose Murray,Sales Call 1,2.1,1
2024-01,Joseph Brown,Sales Call 2,3.1,1
2024-01,Joshua Morris,Sales Call 1,2.1,1
2024-01,Joshua Snyder,Sales Call 1,2.1,1
2024-01,Karina Miller,Sales Call 1,2.1,1
2024-01,Katherine Anderson,Sales Call 1,2.1,1
2024-01,Katherine Lewis,Sales Call 1,2.1,1
2024-01,Kathryn Mclean,Sales Call 2,3.1,1
2024-01,Kathy Allen,Sales Call 1,2.1,1
2024-01,Kathy Davis,Sales Call 2,3.1,1
2024-01,Kayla Mitchell,Sales Call 1,2.1,1
2024-01,Kenneth Hernandez,Sales Call 1,2.1,1
2024-01,Kevin Smith,Lead Generation,1.0,1
2024-01,Kevin Smith,Qualified lead,2.0,1
2024-01,Kevin Smith,Sales Call 1,2.1,1
2024-01,Kristen Miller,Sales Call 2,3.1,1
2024-01,Laura Sanchez,Sales Call 1,2.1,1
2024-01,Laura Washington,Sales Call 2,3.1,1
2024-01,Lauren Tanner,Sales Call 2,3.1,1
2024-01,Linda Summers,Sales Call 2,3.1,1
2024-01,Lisa Powell,Lead Generation,1.0,1
2024-01,Lisa Romero,Sales Call 1,2.1,1
2024-01,Loretta Cervantes,Sales Call 1,2.1,1
2024-01,Marc Phelps,Sales Call 2,3.1,1
2024-01,Mark Perez,Lead Generation,1.0,1
2024-01,Mark Rojas,Sales Call 2,3.1,2
2024-01,Mark Wood,Sales Call 2,3.1,1
2024-01,Martin Johnson,Lead Generation,1.0,1
2024-01,Martin Johnson,Qualified lead,2.0,1
2024-01,Mary Carlson,Sales Call 2,3.1,1
2024-01,Mary Graham,Sales Call 1,2.1,1
2024-01,Mary Wallace,Lead Generation,1.0,1
2024-01,Meghan Lee,Sales Call 2,3.1,1
2024-01,Melissa Barber,Lead Generation,1.0,1
2024-01,Michael Boyd,Sales Call 1,2.1,1
2024-01,Michael Garcia,Sales Call 1,2.1,1
2024-01,Michael Hampton,Lead Generation,1.0,1
2024-01,Michael Mckee,Sales Call 2,3.1,1
2024-01,Michelle Kennedy,Lead Generation,1.0,1
2024-01,Molly Ferguson,Sales Call 1,2.1,1
2024-01,Monica Lee,Lead Generation,1.0,1
2024-01,Monica Wilson,Sales Call 1,2.1,1
2024-01,Mr. Bryan Kelley MD,Sales Call 1,2.1,1
2024-01,Mr. Perry Peterson,Sales Call 2,3.1,1
2024-01,Mrs. Desiree Mueller,Sales Call 2,3.1,1
2024-01,Mrs. Michelle Wiley PhD,Sales Call 1,2.1,1
2024-01,Mr. Travis Douglas,Lead Generation,1.0,1
2024-01,Paige Fischer,Sales Call 2,3.1,2
2024-01,Pamela Chavez,Lead Generation,1.0,1
2024-01,Pam Santos,Sales Call 1,2.1,1
2024-01,Paul Turner,Sales Call 1,2.1,1
2024-01,Peter Castro,Sales Call 2,3.1,1
2024-01,Peter Rice,Sales Call 2,3.1,1
2024-01,Phyllis Martinez,Sales Call 1,2.1,1
2024-01,Rachel Lang,Sales Call 2,3.1,1
2024-01,Rachel Torres,Sales Call 1,2.1,1
2024-01,Raymond Valenzuela,Sales Call 1,2.1,1
2024-01,Rebecca Patel,Sales Call 2,3.1,1
2024-01,Rebecca Solis,Sales Call 2,3.1,1
2024-01,Rebekah Parker,Sales Call 1,2.1,1
2024-01,Rebekah Parker,Sales Call 2,3.1,1
2024-01,Robert Copeland,Sales Call 2,3.1,1
2024-01,Robert Gray,Sales Call 1,2.1,1
2024-01,Robert Taylor,Lead Generation,1.0,1
2024-01,Robert Taylor,Qualified lead,2.0,1
2024-01,Rose Hunter,Sales Call 2,3.1,1
2024-01,Samantha Bowen,Sales Call 2,3.1,1
2024-01,Scott Thornton,Sales Call 1,2.1,1
2024-01,Scott Tran,Lead Generation,1.0,1
2024-01,Sharon White,Sales Call 1,2.1,1
2024-01,Sheila Craig,Sales Call 1,2.1,1
2024-01,Stephen Cook,Lead Generation,1.0,1
2024-01,Steven Patterson,Sales Call 2,3.1,1
2024-01,Steven Reynolds,Sales Call 2,3.1,1
2024-01,Susan Sullivan,Sales Call 1,2.1,1
2024-01,Tara Lopez,Lead Generation,1.0,1
2024-01,Taylor Cunningham,Sales Call 2,3.1,1
2024-01,Theresa Jenkins,Sales Call 1,2.1,1
2024-01,Theresa Jenkins,Sales Call 2,3.1,1
2024-01,Tiffany Clark,Sales Call 2,3.1,1
2024-01,Tiffany Smith,Lead Generation,1.0,1
2024-01,Tiffany Smith,Qualified lead,2.0,1
2024-01,Tiffany Thompson,Sales Call 2,3.1,1
2024-01,Timothy Cherry,Lead Generation,1.0,1
2024-01,Troy Cannon,Sales Call 2,3.1,1
2024-01,Unassigned,Lead Generation,1.0,247
2024-01,Victoria Gray,Sales Call 2,3.1,1
2024-01,Virginia Miller,Sales Call 1,2.1,1
2024-01,William Aguilar,Sales Call 1,2.1,1
2024-01,William Baker,Sales Call 1,2.1,1
2024-01,William Carpenter,Sales Call 1,2.1,1
2024-01,William Grant,Sales Call 1,2.1,1
2024-01,William Molina,Sales Call 2,3.1,1
2024-02,Abigail Mcconnell,Sales Call 1,2.1,1
2024-02,Adam King,Lead Generation,1.0,1
2024-02,Adam Mcdonald,Lead Generation,1.0,1
2024-02,Alexis Morgan,Lead Generation,1.0,1
2024-02,Alexis Morgan,Implementation/Onboarding,7.0,1
2024-02,Alexis Peterson,Sales Call 1,2.1,1
2024-02,Alexis Peterson,Sales Call 2,3.1,1
2024-02,Alfred Johnson,Sales Call 2,3.1,1
2024-02,Allen Smith,Sales Call 2,3.1,1
2024-02,Amanda Coleman,Lead Generation,1.0,1
2024-02,Amanda Coleman,Qualified lead,2.0,1
2024-02,Amanda Kelly,Qualified lead,2.0,1
2024-02,Amanda Kelly,Sales Call 2,3.1,1
2024-02,Amy Benson,Sales Call 1,2.1,1
2024-02,Amy Caldwell,Lead Generation,1.0,1
2024-02,Amy Wise,Sales Call 2,3.1,1
2024-02,Ana Mccormick,Sales Call 1,2.1,1
2024-02,Andrea Johnson,Sales Call 1,2.1,1
2024-02,Andrea Mcguire,Lead Generation,1.0,1
2024-02,Andrew Price,Sales Call 1,2.1,1
2024-02,Andrew Turner,Lead Generation,1.0,1
2024-02,Andrew Wright,Sales Call 2,3.1,1
2024-02,Andrew Young,Lead Generation,1.0,1
2024-02,Angela Cooper,Sales Call 1,2.1,1
2024-02,Angela Gonzales,Sales Call 2,3.1,1
2024-02,Angela Snyder,Lead Generation,1.0,1
2024-02,Anna Smith,Lead Generation,1.0,1
2024-02,Ann Sanchez,Sales Call 1,2.1,1
2024-02,Anthony Dillon,Lead Generation,1.0,1
2024-02,April Ferrell,Lead Generation,1.0,1
2024-02,April Ferrell,Sales Call 1,2.1,1
2024-02,Ariel Gomez,Lead Generation,1.0,1
2024-02,Ariel Gomez,Qualified lead,2.0,1
2024-02,Ashley Brooks,Sales Call 1,2.1,1
2024-02,Ashley Padilla,Sales Call 1,2.1,1
2024-02,Ashley Rodriguez,Lead Generation,1.0,1
2024-02,Austin Hickman,Lead Generation,1.0,2
2024-02,Austin Hickman,Qualified lead,2.0,1
2024-02,Austin Hickman,Closing,6.0,1
2024-02,Austin Mann,Lead Generation,1.0,1
2024-02,Austin Mann,Qualified lead,2.0,1
2024-02,Austin Thomas,Lead Generation,1.0,1
2024-02,Barbara Carr,Lead Generation,1.0,2
2024-02,Barry Norman,Sales Call 1,2.1,1
2024-02,Benjamin Garcia,Qualified lead,2.0,1
2024-02,Benjamin Lane,Lead Generation,1.0,1
2024-02,Benjamin Lane,Proposal/Quote Preparation,4.0,1
2024-02,Benjamin Lane,Negotiation,5.0,1
2024-02,Beverly Miller,Lead Generation,1.0,1
2024-02,Beverly Sanders,Lead Generation,1.0,2
2024-02,Beverly Sanders,Qualified lead,2.0,1
2024-02,Blake Singh,Sales Call 2,3.1,1
2024-02,Brady Lee,Lead Generation,1.0,1
2024-02,Brandon Reyes,Sales Call 1,2.1,1
2024-02,Brenda Smith,Lead Generation,1.0,1
2024-02,Brenda Smith,Qualified lead,2.0,1
2024-02,Brian Barber,Lead Generation,1.0,1
2024-02,Brian Barber,Needs Assessment,3.0,1
2024-02,Brian Roberts,Lead Generation,1.0,1
2024-02,Brittany Schneider,Lead Generation,1.0,1
2024-02,Brittany Schneider,Qualified lead,2.0,1
2024-02,Brittany Schneider,Needs Assessment,3.0,1
2024-02,Brittany Spears,Lead Generation,1.0,1
2024-02,Brittany Spears,Qualified lead,2.0,1
2024-02,Brittany Spears,Needs Assessment,3.0,1
2024-02,Brooke Kerr,Qualified lead,2.0,1
2024-02,Brooke Kerr,Closing,6.0,1
2024-02,Bruce Cisneros,Sales Call 1,2.1,1
2024-02,Bryan Flores,Sales Call 1,2.1,1
2024-02,Bryan Hendrix,Needs Assessment,3.0,1
2024-02,Caitlin Jones,Lead Generation,1.0,1
2024-02,Caleb Fletcher,Lead Generation,1.0,1
2024-02,Caleb Fletcher,Qualified lead,2.0,1
2024-02,Carl Williams,Sales Call 2,3.1,1
2024-02,Carmen Miller,Lead Generation,1.0,1
2024-02,Carol Stewart,Sales Call 2,3.1,1
2024-02,Chad Martinez,Lead Generation,1.0,1
2024-02,Chad Martinez,Needs Assessment,3.0,1
2024-02,Chad Moore,Sales Call 1,2.1,1
2024-02,Charles Chavez,Lead Generation,1.0,1
2024-02,Charles Miller,Sales Call 2,3.1,1
2024-02,Charles Montgomery,Sales Call 1,2.1,1
2024-02,Chelsea Lopez,Lead Generation,1.0,1
2024-02,Christina Cain,Sales Call 2,3.1,1
2024-02,Christine Fox,Needs Assessment,3.0,1
2024-02,Christine Fox,Negotiation,5.0,1
2024-02,Christopher Espinoza,Sales Call 2,3.1,1
2024-02,Christopher Foley,Lead Generation,1.0,1
2024-02,Christopher Foley,Qualified lead,2.0,1
2024-02,Christopher White,Lead Generation,1.0,1
2024-02,Christopher White,Qualified lead,2.0,1
2024-02,Cindy Andrews,Lead Generation,1.0,1
2024-02,Cindy Andrews,Qualified lead,2.0,1
2024-02,Cindy Andrews,Proposal/Quote Preparation,4.0,1
2024-02,Cindy Kent,Lead Generation,1.0,1
2024-02,Cody Cole,Sales Call 1,2.1,1
2024-02,Cody Hodge,Lead Generation,1.0,1
2024-02,Cody Hodge,Qualified lead,2.0,1
2024-02,Cody Hodge,Needs Assessment,3.0,1
2024-02,Cody Hodge,Negotiation,5.0,1
2024-02,Colin Bishop Jr.,Lead Generation,1.0,1
2024-02,Connie Guzman,Lead Generation,1.0,1
2024-02,Courtney Bush,Lead Generation,1.0,1
2024-02,Craig Brown,Lead Generation,1.0,1
2024-02,Craig Herrera,Lead Generation,1.0,1
2024-02,Craig Herrera,Qualified lead,2.0,1
2024-02,Craig Herrera,Needs Assessment,3.0,1
2024-02,Craig Robinson,Sales Call 2,3.1,1
2024-02,Crystal Lutz,Lead Generation,1.0,1
2024-02,Curtis Williams,Sales Call 2,3.1,1
2024-02,Cynthia Lester,Lead Generation,1.0,1
2024-02,Cynthia Payne,Lead Generation,1.0,2
2024-02,Cynthia Watson,Sales Call 2,3.1,1
2024-02,Dale Murphy,Lead Generation,1.0,1
2024-02,Dale Murphy,Qualified lead,2.0,1
2024-02,Dale Murphy,Needs Assessment,3.0,1
2024-02,Dale Murphy,Negotiation,5.0,1
2024-02,Daniel Cook,Lead Generation,1.0,1
2024-02,Daniel Cook,Sales Call 2,3.1,1
2024-02,Danielle Ramos,Lead Generation,1.0,1
2024-02,Danielle Steele,Qualified lead,2.0,1
2024-02,Danielle Steele,Needs Assessment,3.0,1
2024-02,Daniel Smith,Sales Call 1,2.1,1
2024-02,Daniel Valenzuela,Sales Call 2,3.1,1
2024-02,Daryl Garcia,Proposal/Quote Preparation,4.0,1
2024-02,Daryl Garcia,Closing,6.0,1
2024-02,David Brown,Sales Call 1,2.1,1
2024-02,David Liu,Lead Generation,1.0,1
2024-02,David Moore,Sales Call 2,3.1,1
2024-02,David Winters,Qualified lead,2.0,1
2024-02,David Young,Lead Generation,1.0,1
2024-02,David Young,Proposal/Quote Preparation,4.0,1
2024-02,David Young,Closing,6.0,1
2024-02,Dawn Hester,Lead Generation,1.0,1
2024-02,Deborah Cowan,Sales Call 1,2.1,1
2024-02,Deborah Flores,Lead Generation,1.0,1
2024-02,Debra Mason,Lead Generation,1.0,1
2024-02,Debra Mason,Qualified lead,2.0,1
2024-02,Denise Barr,Lead Generation,1.0,1
2024-02,Denise Barr,Qualified lead,2.0,1
2024-02,Dennis Reeves,Sales Call 2,3.1,1
2024-02,Desiree Stevenson,Lead Generation,1.0,1
2024-02,Diana Nichols,Sales Call 1,2.1,1
2024-02,Dominique Nichols,Lead Generation,1.0,1
2024-02,Dominique Nichols,Qualified lead,2.0,1
2024-02,Dominique Nichols,Needs Assessment,3.0,1
2024-02,Donna Kelly,Lead Generation,1.0,1
2024-02,Donna Kelly,Qualified lead,2.0,1
2024-02,Donna Ruiz,Lead Generation,1.0,1
2024-02,Donna Ruiz,Qualified lead,2.0,1
2024-02,Donna Ruiz,Sales Call 2,3.1,1
2024-02,Donna Ruiz,Proposal/Quote Preparation,4.0,1
2024-02,Douglas Williams,Proposal/Quote Preparation,4.0,1
2024-02,Edward Mclaughlin,Sales Call 1,2.1,1
2024-02,Elizabeth Collier,Lead Generation,1.0,1
2024-02,Elizabeth Russell,Qualified lead,2.0,1
2024-02,Emily Cox,Lead Generation,1.0,1
2024-02,Eric Riley,Lead Generation,1.0,1
2024-02,Erin Bowers,Lead Generation,1.0,1
2024-02,Erin Bowers,Qualified lead,2.0,1
2024-02,Erin Johnson,Needs Assessment,3.0,1
2024-02,Erin Johnson,Proposal/Quote Preparation,4.0,1
2024-02,Frank Martinez,Lead Generation,1.0,1
2024-02,Frank Martinez,Proposal/Quote Preparation,4.0,1
2024-02,Gerald Thomas,Sales Call 1,2.1,1
2024-02,Gina Wagner,Sales Call 1,2.1,1
2024-02,Glenn Rhodes,Lead Generation,1.0,1
2024-02,Gloria Lewis,Lead Generation,1.0,1
2024-02,Gloria Lewis,Sales Call 2,3.1,1
2024-02,Grace Gonzalez,Sales Call 1,2.1,1
2024-02,Grace Gonzalez,Sales Call 2,3.1,1
2024-02,Hannah Paul,Lead Generation,1.0,1
2024-02,Hannah Paul,Qualified lead,2.0,1
2024-02,Hannah Paul,Proposal/Quote Preparation,4.0,1
2024-02,Holly Adams,Lead Generation,1.0,1
2024-02,Holly Adams,Qualified lead,2.0,1
2024-02,Jackie Herman,Sales Call 1,2.1,1
2024-02,Jaclyn Jackson,Lead Generation,1.0,1
2024-02,James Allen,Lead Generation,1.0,1
2024-02,James Allen,Qualified lead,2.0,1
2024-02,James Chapman,Lead Generation,1.0,1
2024-02,James Garcia,Lead Generation,1.0,1
2024-02,James Harris,Lead Generation,1.0,1
2024-02,James Harris,Qualified lead,2.0,1
2024-02,James Harris,Needs Assessment,3.0,1
2024-02,James Mills,Sales Call 1,2.1,1
2024-02,Jasmine Hernandez,Lead Generation,1.0,2
2024-02,Jason Fitzgerald,Sales Call 1,2.1,1
2024-02,Jason Johnson,Sales Call 1,2.1,1
2024-02,Jay Cook,Sales Call 2,3.1,1
2024-02,Jeff Brown,Lead Generation,1.0,1
2024-02,Jeffery Williams,Sales Call 1,2.1,1
2024-02,Jeffrey Gardner,Lead Generation,1.0,1
2024-02,Jennifer Baker,Lead Generation,1.0,2
2024-02,Jennifer Martin,Lead Generation,1.0,1
2024-02,Jennifer Wood,Lead Generation,1.0,1
2024-02,Jennifer Wood,Qualified lead,2.0,1
2024-02,Jennifer Wood,Sales Call 2,3.1,1
2024-02,Jenny Carpenter,Lead Generation,1.0,1
2024-02,Jenny Carpenter,Sales Call 1,2.1,1
2024-02,Jeremy Camacho,Sales Call 1,2.1,1
2024-02,Jesse Flores,Sales Call 1,2.1,1
2024-02,Jessica Alvarez MD,Lead Generation,1.0,1
2024-02,Jessica Faulkner,Sales Call 2,3.1,1
2024-02,Jessica Jackson,Sales Call 2,3.1,1
2024-02,Jessica Smith,Sales Call 2,3.1,1
2024-02,Jessica West,Lead Generation,1.0,1
2024-02,Jill Henson,Lead Generation,1.0,1
2024-02,Jill Henson,Qualified lead,2.0,1
2024-02,Joan Flores,Sales Call 2,3.1,1
2024-02,Joann Lynn,Lead Generation,1.0,1
2024-02,Joann Lynn,Qualified lead,2.0,1
2024-02,John Cain,Negotiation,5.0,1
2024-02,John Davidson,Lead Generation,1.0,1
2024-02,John Erickson,Sales Call 2,3.1,1
2024-02,John Jensen,Lead Generation,1.0,1
2024-02,John Landry Jr.,Lead Generation,1.0,1
2024-02,John Parker,Lead Generation,1.0,1
2024-02,Jonathan Hamilton,Lead Generation,1.0,1
2024-02,Jonathan Hamilton,Qualified lead,2.0,1
2024-02,Jonathan Wilkerson,Lead Generation,1.0,1
2024-02,Jordan Torres,Qualified lead,2.0,1
2024-02,Jorge Moon,Sales Call 2,3.1,1
2024-02,Jose Murray,Lead Generation,1.0,1
2024-02,Joseph Carson,Lead Generation,1.0,1
2024-02,Joseph Carson,Needs Assessment,3.0,1
2024-02,Joseph Carson,Proposal/Quote Preparation,4.0,1
2024-02,Joseph Pollard,Lead Generation,1.0,1
2024-02,Joshua Ferguson,Lead Generation,1.0,1
2024-02,Joshua Ferguson,Sales Call 1,2.1,1
2024-02,Joshua Hall II,Lead Generation,1.0,1
2024-02,Joshua Snyder,Lead Generation,1.0,1
2024-02,Juan Walton,Lead Generation,1.0,1
2024-02,Juan Walton,Qualified lead,2.0,1
2024-02,Juan Walton,Sales Call 2,3.1,1
2024-02,Judy Rivera,Sales Call 2,3.1,1
2024-02,Justin Costa,Lead Generation,1.0,1
2024-02,Kara Johnston,Sales Call 1,2.1,1
2024-02,Karen Kim,Sales Call 2,3.1,1
2024-02,Katherine Miller,Lead Generation,1.0,1
2024-02,Katherine Miller,Qualified lead,2.0,1
2024-02,Kathryn Huynh,Lead Generation,1.0,1
2024-02,Kathryn Mclean,Lead Generation,1.0,1
2024-02,Kayla Jackson,Lead Generation,1.0,1
2024-02,Kayla Maldonado,Lead Generation,1.0,1
2024-02,Keith Coleman,Lead Generation,1.0,1
2024-02,Keith Jones,Lead Generation,1.0,1
2024-02,Keith Jones,Qualified lead,2.0,1
2024-02,Keith Owens,Lead Generation,1.0,1
2024-02,Kelly Armstrong,Lead Generation,1.0,1
2024-02,Kelly Haynes,Sales Call 1,2.1,1
2024-02,Kelly Mann,Lead Generation,1.0,1
2024-02,Kelly Smith,Lead Generation,1.0,1
2024-02,Kendra Scott,Lead Generation,1.0,1
2024-02,Kendra Scott,Qualified lead,2.0,1
2024-02,Kenneth Anderson,Lead Generation,1.0,1
2024-02,Kevin Cook,Lead Generation,1.0,1
2024-02,Kevin Ferguson,Lead Generation,1.0,1
2024-02,Kevin Ferguson,Qualified lead,2.0,1
2024-02,Kevin Smith,Lead Generation,1.0,1
2024-02,Kevin Smith,Needs Assessment,3.0,1
2024-02,Kimberly Golden,Lead Generation,1.0,1
2024-02,Kimberly Golden,Sales Call 1,2.1,1
2024-02,Kimberly Golden,Needs Assessment,3.0,1
2024-02,Kimberly Golden,Proposal/Quote Preparation,4.0,1
2024-02,Kimberly Golden,Negotiation,5.0,1
2024-02,Krystal Williams,Sales Call 1,2.1,1
2024-02,Laura Burke,Lead Generation,1.0,1
2024-02,Laura Smith,Sales Call 1,2.1,1
2024-02,Laura Zhang,Lead Generation,1.0,2
2024-02,Laura Zhang,Qualified lead,2.0,1
2024-02,Laura Zhang,Sales Call 2,3.1,1
2024-02,Lauren Ellis,Lead Generation,1.0,1
2024-02,Lauren Ellis,Qualified lead,2.0,1
2024-02,Lauren Miller,Lead Generation,1.0,1
2024-02,Laurie Harris,Lead Generation,1.0,1
2024-02,Leah Lara,Sales Call 1,2.1,1
2024-02,Leslie Potter,Sales Call 1,2.1,1
2024-02,Linda Williams,Lead Generation,1.0,1
2024-02,Lisa Boyd,Sales Call 1,2.1,1
2024-02,Lisa Brown,Sales Call 1,2.1,1
2024-02,Lisa Powell,Qualified lead,2.0,1
2024-02,Lisa Reed,Lead Generation,1.0,1
2024-02,Luis Wilson,Lead Generation,1.0,1
2024-02,Luis Wilson,Qualified lead,2.0,1
2024-02,Luis Wilson,Sales Call 1,2.1,1
2024-02,Luis Wilson,Needs Assessment,3.0,1
2024-02,Marcus Daniels,Lead Generation,1.0,1
2024-02,Marcus Russell,Sales Call 2,3.1,1
2024-02,Mariah Stevens,Lead Generation,1.0,1
2024-02,Maria Padilla,Lead Generation,1.0,1
2024-02,Maria Padilla,Qualified lead,2.0,1
2024-02,Marie Miller,Lead Generation,1.0,1
2024-02,Mark Graham,Lead Generation,1.0,2
2024-02,Mark Graham,Qualified lead,2.0,1
2024-02,Mark Perez,Qualified lead,2.0,1
2024-02,Mark Perez,Proposal/Quote Preparation,4.0,1
2024-02,Mark Thomas,Lead Generation,1.0,1
2024-02,Mark Wood,Sales Call 2,3.1,1
2024-02,Mark Woodard,Lead Generation,1.0,1
2024-02,Mary Carlson,Sales Call 1,2.1,1
2024-02,Mary Wallace,Needs Assessment,3.0,1
2024-02,Matthew Adkins,Lead Generation,1.0,1
2024-02,Matthew Adkins,Qualified lead,2.0,1
2024-02,Matthew Barr,Lead Generation,1.0,1
2024-02,Matthew Cook,Sales Call 1,2.1,1
2024-02,Matthew Newman,Sales Call 1,2.1,1
2024-02,Matthew Rogers,Lead Generation,1.0,1
2024-02,Megan Robinson,Sales Call 2,3.1,1
2024-02,Megan Thomas DDS,Sales Call 2,3.1,1
2024-02,Melissa Barber,Qualified lead,2.0,1
2024-02,Melissa Patterson,Sales Call 2,3.1,1
2024-02,Michael Adams,Sales Call 1,2.1,1
2024-02,Michaela Mueller,Lead Generation,1.0,1
2024-02,Michael Boyd,Lead Generation,1.0,1
2024-02,Michael Boyd,Proposal/Quote Preparation,4.0,1
2024-02,Michael Carter,Sales Call 2,3.1,1
2024-02,Michael Collins,Lead Generation,1.0,1
2024-02,Michael Collins,Qualified lead,2.0,1
2024-02,Michael Collins,Negotiation,5.0,1
2024-02,Michael Davis,Lead Generation,1.0,1
2024-02,Michael Hampton,Qualified lead,2.0,1
2024-02,Michael Hampton,Closing,6.0,1
2024-02,Michael Nguyen,Sales Call 1,2.1,1
2024-02,Michael Pena,Lead Generation,1.0,1
2024-02,Michael Smith,Lead Generation,1.0,3
2024-02,Michael Smith,Qualified lead,2.0,1
2024-02,Michael Smith,Sales Call 1,2.1,1
2024-02,Michael Smith,Sales Call 2,3.1,1
2024-02,Michelle Kennedy,Qualified lead,2.0,1
2024-02,Michelle Kennedy,Proposal/Quote Preparation,4.0,1
2024-02,Michelle Kennedy,Negotiation,5.0,1
2024-02,Michelle Smith,Lead Generation,1.0,1
2024-02,Monica Gordon,Sales Call 2,3.1,1
2024-02,Monica Graves,Lead Generation,1.0,1
2024-02,Monica Lee,Sales Call 2,3.1,1
2024-02,Monica Lee,Closing,6.0,1
2024-02,Mr. Andrew Hicks,Sales Call 1,2.1,1
2024-02,Mr. Travis Douglas,Qualified lead,2.0,1
2024-02,Mr. Travis Douglas,Closing,6.0,1
